qtype,shape,rows,width,kernel_variant,iterations,old_baseline_ms,ms,delta_pct,decoded_bytes,encoded_bytes,traffic_gb_s,roofline_pct,blocks_per_s,exact
IQ2_XS,64x4096,64,4096,iq2_xs_fused_threads32,5,169.488383,13.528877258300781,-92.01781442548733,1048576,75776,0.08310756159090306,0.008877116170786483,75689.94680410116,True
IQ2_XS,4096x4096,4096,4096,iq2_xs_fused_threads32,2,610.387939,44.9167366027832,-92.64128044922211,67108864,4849664,1.6020426558669711,0.17112183890909755,1459055.2421374966,skip
IQ2_XS,11008x4096,11008,4096,iq2_xs_fused_threads32,2,1331.420166,86.08972930908203,-93.53399238591058,180355072,13033472,2.2463602284738338,0.23994448071713667,2045865.4175535827,skip
