qtype,shape,rows,width,kernel_variant,iterations,old_baseline_ms,ms,delta_pct,decoded_bytes,encoded_bytes,traffic_gb_s,roofline_pct,blocks_per_s,exact
IQ3_XXS,64x4096,64,4096,iq3_direct_grid_lookup,3,270.784831,209.45540364583334,-22.648767705221516,1048576,100352,0.00548531085854779,0.0005859122899538336,4888.868857885731,True
IQ3_XXS,4096x4096,4096,4096,iq3_direct_grid_lookup,1,1092.228027,836.8629760742188,-23.380195766188788,67108864,6422528,0.08786550976952137,0.009385335373800615,78311.5060334415,skip
IQ3_XXS,11008x4096,11008,4096,iq3_direct_grid_lookup,1,2437.06958,1871.647705078125,-23.200891741542925,180355072,17260544,0.10558376742793658,0.011277907223663381,94103.17952579018,skip
IQ3_S,64x4096,64,4096,iq3_direct_grid_lookup,3,254.123698,172.68804931640625,-32.04567276665152,1048576,112640,0.006724356460083533,0.0007182606772146477,5929.7676014845965,True
IQ3_S,4096x4096,4096,4096,iq3_direct_grid_lookup,1,1029.164062,700.3965454101562,-31.94510270315325,67108864,7208960,0.1061082103945545,0.011333925485425602,93569.85043611507,skip
IQ3_S,11008x4096,11008,4096,iq3_direct_grid_lookup,1,2305.68335,1562.1571044921875,-32.247543684080135,180355072,19374080,0.12785471539683982,0.013656773701862829,112746.66260744251,skip
