qtype,shape,rows,width,kernel_variant,iterations,old_baseline_ms,ms,delta_pct,decoded_bytes,encoded_bytes,traffic_gb_s,roofline_pct,blocks_per_s,exact
IQ1_S,64x4096,64,4096,iq1_grid_lookup,5,41.754262,22.651692199707032,-45.74998787020345,1048576,51200,0.048551604458682514,0.005186029102615094,45206.33562260942,True
IQ1_S,4096x4096,4096,4096,iq1_grid_lookup,2,129.078278,69.4297103881836,-46.21115848153507,67108864,3276800,1.0137686533109767,0.10828547888388984,943918.6716117101,skip
IQ1_S,11008x4096,11008,4096,iq1_grid_lookup,1,277.797699,146.7678680419922,-47.16735647187914,180355072,8806400,1.288847991890694,0.13766801878772633,1200044.685186866,skip
IQ1_M,64x4096,64,4096,iq1_grid_lookup,5,37.506388,19.896934509277344,-46.9505447731268,1048576,57344,0.055582431529055024,0.005937025371614508,51465.21437875465,True
IQ1_M,4096x4096,4096,4096,iq1_grid_lookup,2,130.176773,64.9164810180664,-50.13205541816096,67108864,3670016,1.0903067894315168,0.11646088329753437,1009543.3235477009,skip
IQ1_M,11008x4096,11008,4096,iq1_grid_lookup,1,249.66861,142.03904724121094,-43.10896862797012,180355072,9863168,1.3391968173158124,0.14304601765817265,1239997.0530701966,skip
