qtype,shape,rows,width,kernel_variant,iterations,old_baseline_ms,ms,delta_pct,decoded_bytes,encoded_bytes,traffic_gb_s,roofline_pct,blocks_per_s,exact
TQ1_0,64x4096,64,4096,production_warp_128t,100,0.106086,0.0071027386002242565,-93.30473521461433,1048576,55296,155.41498316792163,16.60061772782756,144169743.19844306,True
TQ1_0,4096x4096,4096,4096,production_warp_128t,60,2.351506,0.08811696510141094,-96.25274334399269,67108864,3538944,801.7503544146549,85.63879026005714,743738733.223242,True
TQ1_0,11008x4096,11008,4096,production_warp_128t,30,7.995192,0.28883070529748994,-96.38744503824937,180355072,9510912,657.3608017348494,70.21585149912939,609796662.091697,skip
TQ2_0,64x4096,64,4096,production_warp_128t,100,0.114369,0.00694905174896121,-93.92400759912108,1048576,67584,160.62047604795157,17.156641321080066,147358234.90637758,True
TQ2_0,4096x4096,4096,4096,production_warp_128t,60,2.58283,0.10694198232765,-95.85950363254067,67108864,4325376,667.9719081804469,71.34927453326712,612818264.3857311,True
TQ2_0,11008x4096,11008,4096,production_warp_128t,30,8.889754,0.3351450276871522,-96.22998535519484,180355072,11624448,572.825207417987,61.18620032236562,525527713.2275111,skip
