qtype,shape,rows,width,kernel_variant,iterations,old_baseline_ms,ms,delta_pct,decoded_bytes,encoded_bytes,traffic_gb_s,roofline_pct,blocks_per_s,exact
IQ1_S,64x4096,64,4096,iq_fused_grid_or_neighbour_final,5,41.754262,1.7282751083374024,-95.86084144335398,1048576,51200,0.6363431346633133,0.06797085394822829,592498.2631874426,True
IQ1_S,4096x4096,4096,4096,iq_fused_grid_or_neighbour_final,2,129.078278,6.436863899230957,-95.01320903953263,67108864,3276800,10.934775863197808,1.1679957127961769,10181355.552325707,skip
IQ1_S,11008x4096,11008,4096,iq_fused_grid_or_neighbour_final,2,277.797699,15.561216354370117,-94.39836384160614,180355072,8806400,12.155956686951212,1.2984358776918619,11318395.425466679,skip
IQ1_M,64x4096,64,4096,iq_fused_grid_or_neighbour_final,5,37.506388,3.0138368606567383,-91.96447053057538,1048576,57344,0.3669475327071989,0.03919542113941453,339766.23398814705,True
IQ1_M,4096x4096,4096,4096,iq_fused_grid_or_neighbour_final,2,130.176773,10.043904304504395,-92.28441136384261,67108864,3670016,7.046948861137373,0.7527183145842099,6524952.649201271,skip
IQ1_M,11008x4096,11008,4096,iq_fused_grid_or_neighbour_final,2,249.66861,24.94054412841797,-90.01054072099093,180355072,9863168,7.626868083574002,0.8146622605825681,7061914.892198151,skip
IQ2_XS,64x4096,64,4096,iq_fused_grid_or_neighbour_final,5,169.488383,12.169420623779297,-92.81990871092368,1048576,75776,0.09239158007267767,0.009868786591826283,84145.33704251154,True
IQ2_XS,4096x4096,4096,4096,iq_fused_grid_or_neighbour_final,2,610.387939,45.13945770263672,-92.60479199890666,67108864,4849664,1.5941380703782073,0.17027751232409818,1451856.1661003707,skip
IQ2_XS,11008x4096,11008,4096,iq_fused_grid_or_neighbour_final,2,1331.420166,86.3016128540039,-93.51807828528835,180355072,13033472,2.2408450735115997,0.23935538063571882,2040842.507751912,skip
IQ2_XXS,64x4096,64,4096,iq_fused_grid_or_neighbour_final,5,58.359807,4.272895812988281,-92.67835856107564,1048576,67584,0.2612186322463606,0.027902011562311535,239650.12132693635,True
IQ2_XXS,4096x4096,4096,4096,iq_fused_grid_or_neighbour_final,2,233.813828,16.077312469482422,-93.12388295978695,67108864,4325376,4.443170469914969,0.47459629031349804,4076303.183408228,skip
IQ2_XXS,11008x4096,11008,4096,iq_fused_grid_or_neighbour_final,2,511.188995,30.256576538085938,-94.08113695051554,180355072,11624448,6.345050959692773,0.6777452424367414,5821147.669442911,skip
IQ2_S,64x4096,64,4096,iq_fused_grid_or_neighbour_final,5,213.381795,3.502489471435547,-98.35858093168841,1048576,83968,0.3233540055541723,0.0345389879891233,292363.47699292254,True
IQ2_S,4096x4096,4096,4096,iq_fused_grid_or_neighbour_final,2,741.796814,12.418560028076172,-98.32588118556193,67108864,5373952,5.836652223456596,0.6234407416638108,5277262.408188604,skip
IQ2_S,11008x4096,11008,4096,iq_fused_grid_or_neighbour_final,2,1624.433716,21.05855941772461,-98.70363689140981,180355072,14442496,9.250279857037249,0.9880666371541603,8363725.006362792,skip
IQ3_XXS,64x4096,64,4096,iq_fused_grid_or_neighbour_final,5,270.784831,4.300140762329102,-98.41197132555439,1048576,100352,0.2671838117638041,0.028539180919013474,238131.7395399324,True
IQ3_XXS,4096x4096,4096,4096,iq_fused_grid_or_neighbour_final,2,1092.228027,17.63430404663086,-98.38547413079422,67108864,6422528,4.169792683939155,0.44539550138209305,3716392.7664341847,skip
IQ3_XXS,11008x4096,11008,4096,iq_fused_grid_or_neighbour_final,2,2437.06958,43.92446517944336,-98.1976523961436,180355072,17260544,4.498987413795173,0.48055836507105026,4009792.7039172663,skip
IQ3_S,64x4096,64,4096,iq_fused_grid_or_neighbour_final,5,254.123698,2.778342437744141,-98.90669683323114,1048576,112640,0.41795279956305265,0.04464353765894602,368565.07897976425,True
IQ3_S,4096x4096,4096,4096,iq_fused_grid_or_neighbour_final,2,1029.164062,12.669872283935547,-98.76891617656042,67108864,7208960,5.865712166193613,0.6265447731460813,5172585.684474085,skip
IQ3_S,11008x4096,11008,4096,iq_fused_grid_or_neighbour_final,2,2305.68335,31.662511825561523,-98.62676235114586,180355072,19374080,6.308064031696824,0.673794491742878,5562666.69461801,skip
