qtype,shape,rows,width,kernel_variant,iterations,old_baseline_ms,ms,delta_pct,decoded_bytes,encoded_bytes,traffic_gb_s,roofline_pct,blocks_per_s,exact
IQ2_XXS,64x4096,64,4096,iq2_neighbour_table_all,3,58.359807,6.317738850911458,-89.17450352275588,1048576,67584,0.17667080364345417,0.018871053582936784,162083.30609491208,True
IQ2_XXS,4096x4096,4096,4096,iq2_neighbour_table_all,1,233.813828,25.286495208740234,-89.18520113842871,67108864,4325376,2.8249956907950167,0.3017513021571263,2591739.165866988,skip
IQ2_XXS,11008x4096,11008,4096,iq2_neighbour_table_all,1,511.188995,46.561279296875,-90.89157244144604,180355072,11624448,4.123158188501167,0.44041424786382893,3782713.93440474,skip
IQ2_XS,64x4096,64,4096,iq2_neighbour_table_all,3,169.488383,16.538623809814453,-90.2420310365375,1048576,75776,0.06798340738198422,0.00726163291839182,61915.67156829164,True
IQ2_XS,4096x4096,4096,4096,iq2_neighbour_table_all,1,610.387939,52.19753646850586,-91.44846529012005,67108864,4849664,1.378580922941013,0.1472528223607149,1255538.1811848935,skip
IQ2_XS,11008x4096,11008,4096,iq2_neighbour_table_all,1,1331.420166,92.50303649902344,-93.05230318262858,180355072,13033472,2.0906183333997,0.2233089439649327,1904023.9830598359,skip
IQ2_S,64x4096,64,4096,iq2_neighbour_table_all,3,213.381795,3.7187732060750327,-98.2572209564199,1048576,83968,0.3045477465928448,0.032530201516005636,275359.6262141454,True
IQ2_S,4096x4096,4096,4096,iq2_neighbour_table_all,1,741.796814,13.047807693481445,-98.24105368920047,67108864,5373952,5.555172003049347,0.5933744929554954,5022759.496427981,skip
IQ2_S,11008x4096,11008,4096,iq2_neighbour_table_all,1,1624.433716,22.0897274017334,-98.64015827890306,180355072,14442496,8.818468623778221,0.9419428139049585,7973298.936508338,skip
