qtype,shape,iterations,ms,encoded_bytes,decoded_bytes,traffic_gb_s,exact,kernel_variant
TQ1_0,64x4096,200,0.009708,55296,1048576,113.713,True,tq1_packed_byte
TQ1_0,4096x4096,20,0.089896,3538944,67108864,785.884,skip,tq1_packed_byte
TQ1_0,11008x4096,10,0.236851,9510912,180355072,801.626,skip,tq1_packed_byte
