qtype,shape,rows,width,kernel_variant,iterations,old_baseline_ms,ms,delta_pct,decoded_bytes,encoded_bytes,traffic_gb_s,roofline_pct,blocks_per_s,exact
Q4_K,64x4096,64,4096,production_lane_subgroups_pack_64t,100,0.23150963941588998,0.0273305606842041,-88.19463381604308,1048576,147456,43.7617074095101,4.674397287920327,37467215.24786824,True
Q4_K,4096x4096,4096,4096,production_lane_subgroups_pack_64t,30,0.9019073642169436,0.6241280237833658,-30.799098827045512,67108864,9437184,122.64478613857123,13.100276237830725,105004097.72137947,True
Q4_K,11008x4096,11008,4096,production_lane_subgroups_pack_64t,15,2.0980915365119777,1.656211217244466,-21.061060090930354,180355072,25362432,124.2097033627535,13.267432531804474,106343924.11194648,skip
