qtype,shape,rows,width,kernel_variant,iterations,old_baseline_ms,ms,delta_pct,decoded_bytes,encoded_bytes,traffic_gb_s,roofline_pct,blocks_per_s,exact
Q3_K,64x4096,64,4096,production_two_blocks_per_warp_syncwarp_64t,100,0.14979,0.01724576111882925,-88.48670731101592,1048576,112640,67.33341555636895,7.192204182479059,59376909.66170101,True
Q3_K,4096x4096,4096,4096,production_two_blocks_per_warp_syncwarp_64t,60,1.11319,0.29516166541725397,-73.48505956599915,67108864,7208960,251.786843304807,26.894557071652102,222034253.35520902,True
Q3_K,11008x4096,11008,4096,production_two_blocks_per_warp_syncwarp_64t,30,2.453299,0.714548327960074,-70.87398120000563,180355072,19374080,279.51804543465397,29.856659414083953,246488576.22103527,skip
