qtype,shape,iterations,ms,encoded_bytes,decoded_bytes,traffic_gb_s,exact,kernel_variant
Q1_0,64x4096,200,0.011622,36864,1048576,93.392,True,q1_pair_adjacent
Q1_0,4096x4096,20,0.088418,2359296,67108864,785.682,skip,q1_pair_adjacent
Q1_0,11008x4096,10,0.233882,6340608,180355072,798.249,skip,q1_pair_adjacent
