qtype,shape,rows,width,kernel_variant,iterations,old_baseline_ms,ms,delta_pct,decoded_bytes,encoded_bytes,traffic_gb_s,roofline_pct,blocks_per_s,exact
IQ2_XXS,64x4096,64,4096,iq2_packed_grid_decode,3,58.359807,34.47319539388021,-40.92990164638446,1048576,67584,0.03237761940101857,0.003458408395750755,29704.237982585844,True
IQ2_XXS,4096x4096,4096,4096,iq2_packed_grid_decode,1,233.813828,135.97625732421875,-41.844219186121556,67108864,4325376,0.525343478381478,0.05611444973098462,481966.49392796145,skip
IQ2_XXS,11008x4096,11008,4096,iq2_packed_grid_decode,1,511.188995,255.8507843017578,-49.94986456980401,180355072,11624448,0.7503573636638682,0.08014925909676011,688401.251067769,skip
IQ2_XS,64x4096,64,4096,iq2_packed_grid_decode,3,169.488383,85.02854410807292,-49.832228850709534,1048576,75776,0.013223230055202718,0.0014124364511004827,12043.014622224699,True
IQ2_XS,4096x4096,4096,4096,iq2_packed_grid_decode,1,610.387939,278.6083984375,-54.35552037709906,67108864,4849664,0.25827838788622304,0.027587949998528417,235226.21847561296,skip
IQ2_XS,11008x4096,11008,4096,iq2_packed_grid_decode,1,1331.420166,570.4937133789062,-57.15148921824982,180355072,13033472,0.33898453123103334,0.036208559200067644,308729.08126687916,skip
IQ2_S,64x4096,64,4096,iq2_packed_grid_decode,3,213.381795,134.1453653971354,-37.133640947609706,1048576,83968,0.008442662157183888,0.0009018011276633077,7633.510087869699,True
IQ2_S,4096x4096,4096,4096,iq2_packed_grid_decode,1,741.796814,407.2878112792969,-45.09442429617973,67108864,5373952,0.17796460879182815,0.01900925109931939,160908.3262132262,skip
IQ2_S,11008x4096,11008,4096,iq2_packed_grid_decode,1,1624.433716,842.8229370117188,-48.115892405441876,180355072,14442496,0.23112513844327368,0.024687581547027736,208973.90455992194,skip
