qtype,shape,rows,width,kernel_variant,iterations,old_baseline_ms,ms,delta_pct,decoded_bytes,encoded_bytes,traffic_gb_s,roofline_pct,blocks_per_s,exact
Q2_K,64x4096,64,4096,production_lane_subgroups_pack_64t,100,0.1863997196778655,0.01661952018737793,-91.08393498869007,1048576,86016,68.26863755439169,7.292099717409921,61614293.82165316,True
Q2_K,4096x4096,4096,4096,production_lane_subgroups_pack_64t,30,0.6807198670382301,0.4956490516662598,-27.18751491376356,67108864,5505024,146.50262671922516,15.648646306262034,132222587.29171947,True
Q2_K,11008x4096,11008,4096,production_lane_subgroups_pack_64t,15,1.5301443946858246,1.3098303476969402,-14.398252070460332,180355072,14794752,148.988626155387,15.914187796986434,134466269.09330958,skip
