qtype,shape,rows,width,kernel_variant,iterations,old_baseline_ms,ms,delta_pct,decoded_bytes,encoded_bytes,traffic_gb_s,roofline_pct,blocks_per_s,exact
Q6_K,64x4096,64,4096,production_lane_subgroups_pack_64t,100,0.1483745384030044,0.014243839979171754,-90.40007798340464,1048576,215040,88.71315613259765,9.475876536274049,71890726.20145676,True
Q6_K,4096x4096,4096,4096,production_lane_subgroups_pack_64t,30,0.8049371729915341,0.40977067947387696,-49.09283690415591,67108864,13762560,197.35776142850062,21.080726493110514,159933356.1008919,True
Q6_K,11008x4096,11008,4096,production_lane_subgroups_pack_64t,15,1.9372775995483,1.093563715616862,-43.55152220456997,180355072,36986880,198.74649176468043,21.22906342284559,161058745.35225317,skip
