qtype,shape,rows,width,kernel_variant,iterations,old_baseline_ms,ms,delta_pct,decoded_bytes,encoded_bytes,traffic_gb_s,roofline_pct,blocks_per_s,exact
MXFP4,64x4096,64,4096,production_warp_128t,100,0.010967,0.007410040125250816,-32.433298757629096,1048576,139264,160.3014261626274,17.12256207676003,1105527076.983637,True
MXFP4,4096x4096,4096,4096,production_warp_128t,60,0.651059,0.3003291164835294,-53.870675855255925,67108864,8912896,253.12817115475775,27.037830715099098,1745711525.205226,True
MXFP4,11008x4096,11008,4096,production_warp_128t,30,1.959731,0.8022090032075843,-59.06535115239876,180355072,23953408,254.68235731970705,27.203840773307736,1756430050.4807384,skip
NVFP4,64x4096,64,4096,production_warp_128t,100,0.021176,0.009704618714749813,-54.171615438468955,1048576,147456,123.2435848491585,13.164236792262177,422067071.4012277,True
NVFP4,4096x4096,4096,4096,production_warp_128t,60,1.088302,0.1574460843888422,-85.53286823061593,67108864,9437184,486.1730813892799,51.93047226973723,1664976306.1276708,True
NVFP4,11008x4096,11008,4096,production_warp_128t,30,3.180032,0.4175447005157669,-86.86979563363617,180355072,25362432,492.68378630093974,52.62591180313392,1687273240.756643,skip
