qtype,shape,rows,width,kernel_variant,iterations,old_baseline_ms,ms,delta_pct,decoded_bytes,encoded_bytes,traffic_gb_s,roofline_pct,blocks_per_s,exact
IQ3_XXS,64x4096,64,4096,iq3_packed_grid_decode,3,270.784831,77.53482564290364,-71.36662886300908,1048576,100352,0.01481821865817474,0.0015828048128791647,13206.968501047006,True
IQ3_XXS,4096x4096,4096,4096,iq3_packed_grid_decode,1,1092.228027,284.25421142578125,-73.9748290284643,67108864,6422528,0.2586818032745279,0.027631040725756024,230554.19186678066,skip
IQ3_XXS,11008x4096,11008,4096,iq3_packed_grid_decode,1,2437.06958,633.8751831054688,-73.99027141828799,180355072,17260544,0.31175793163544513,0.03330035586791766,277859.11910467484,skip
IQ3_S,64x4096,64,4096,iq3_packed_grid_decode,3,254.123698,107.45279947916667,-57.71634037878408,1048576,112640,0.010806754273769674,0.0011543211144808452,9529.76567351823,True
IQ3_S,4096x4096,4096,4096,iq3_packed_grid_decode,1,1029.164062,428.5033264160156,-58.36394388050293,67108864,7208960,0.17343581582339454,0.018525509060392496,152941.63652856663,skip
IQ3_S,11008x4096,11008,4096,iq3_packed_grid_decode,1,2305.68335,964.03662109375,-58.18868097851554,180355072,19374080,0.20718004651461977,0.022129891744778866,182698.45371659592,skip
