backend,operation,thread_mode,qtype,rows,width,shape,iterations,ms,input_gb_s,output_gb_s,encoded_bytes,decoded_bytes,notes
libgguf_cpu,quantize,1_thread,IQ4_XS,1,4096,1x4096,50,0.949204,0.017261,,2176,16384,
libgguf_cpu,dequantize,1_thread,IQ4_XS,1,4096,1x4096,50,0.017592,0.123695,0.931348,2176,16384,
libgguf_cpu,quantize,default,IQ4_XS,1,4096,1x4096,50,1.006329,0.016281,,2176,16384,
libgguf_cpu,dequantize,default,IQ4_XS,1,4096,1x4096,50,0.020057,0.108490,0.816868,2176,16384,
cuda,quantize,,MXFP4,1,4096,1x4096,200,0.008228,1.991288,,2176,16384,
cuda,dequantize,,MXFP4,1,4096,1x4096,200,0.008493,0.256212,1.929127,2176,16384,
libgguf_cpu,quantize,1_thread,MXFP4,1,4096,1x4096,50,0.029465,0.556056,,2176,16384,
libgguf_cpu,dequantize,1_thread,MXFP4,1,4096,1x4096,50,0.020174,0.107864,0.812154,2176,16384,
libgguf_cpu,quantize,default,MXFP4,1,4096,1x4096,50,0.020561,0.796830,,2176,16384,
libgguf_cpu,dequantize,default,MXFP4,1,4096,1x4096,50,0.012906,0.168607,1.269513,2176,16384,
cuda,quantize,,NVFP4,1,4096,1x4096,200,0.011132,1.471793,,2304,16384,
cuda,dequantize,,NVFP4,1,4096,1x4096,200,0.010040,0.229475,1.631820,2304,16384,
libgguf_cpu,quantize,1_thread,NVFP4,1,4096,1x4096,50,0.030713,0.533451,,2304,16384,
libgguf_cpu,dequantize,1_thread,NVFP4,1,4096,1x4096,50,0.011252,0.204765,1.456107,2304,16384,
libgguf_cpu,quantize,default,NVFP4,1,4096,1x4096,50,0.022282,0.735299,,2304,16384,
libgguf_cpu,dequantize,default,NVFP4,1,4096,1x4096,50,0.010592,0.217524,1.546836,2304,16384,
cuda,quantize,,Q1_0,1,4096,1x4096,200,0.009062,1.807910,,576,16384,
cuda,dequantize,,Q1_0,1,4096,1x4096,200,0.008423,0.068386,1.945215,576,16384,
libgguf_cpu,quantize,1_thread,Q1_0,1,4096,1x4096,50,0.010252,1.598168,,576,16384,
libgguf_cpu,dequantize,1_thread,Q1_0,1,4096,1x4096,50,0.012827,0.044907,1.277351,576,16384,
libgguf_cpu,quantize,default,Q1_0,1,4096,1x4096,50,0.015201,1.077788,,576,16384,
libgguf_cpu,dequantize,default,Q1_0,1,4096,1x4096,50,0.010820,0.053235,1.514242,576,16384,
cuda,quantize,,Q2_K,1,4096,1x4096,200,0.136888,0.119689,,1344,16384,
cuda,dequantize,,Q2_K,1,4096,1x4096,200,0.009390,0.143130,1.744820,1344,16384,
libgguf_cpu,quantize,1_thread,Q2_K,1,4096,1x4096,50,0.249848,0.065576,,1344,16384,
libgguf_cpu,dequantize,1_thread,Q2_K,1,4096,1x4096,50,0.019339,0.069495,0.847179,1344,16384,
libgguf_cpu,quantize,default,Q2_K,1,4096,1x4096,50,0.251544,0.065134,,1344,16384,
libgguf_cpu,dequantize,default,Q2_K,1,4096,1x4096,50,0.009685,0.138766,1.691629,1344,16384,
cuda,quantize,,Q3_K,1,4096,1x4096,200,0.116986,0.140051,,1760,16384,
cuda,dequantize,,Q3_K,1,4096,1x4096,200,0.008387,0.209860,1.953602,1760,16384,
libgguf_cpu,quantize,1_thread,Q3_K,1,4096,1x4096,50,0.041515,0.394649,,1760,16384,
libgguf_cpu,dequantize,1_thread,Q3_K,1,4096,1x4096,50,0.011428,0.154003,1.433629,1760,16384,
libgguf_cpu,quantize,default,Q3_K,1,4096,1x4096,50,0.029401,0.557263,,1760,16384,
libgguf_cpu,dequantize,default,Q3_K,1,4096,1x4096,50,0.021647,0.081305,0.756876,1760,16384,
cuda,quantize,,Q4_0,1,4096,1x4096,200,0.008330,1.966810,,2304,16384,
cuda,dequantize,,Q4_0,1,4096,1x4096,200,0.010655,0.216239,1.537699,2304,16384,
libgguf_cpu,quantize,1_thread,Q4_0,1,4096,1x4096,50,0.011442,1.431950,,2304,16384,
libgguf_cpu,dequantize,1_thread,Q4_0,1,4096,1x4096,50,0.010902,0.211331,1.502796,2304,16384,
libgguf_cpu,quantize,default,Q4_0,1,4096,1x4096,50,0.011062,1.481142,,2304,16384,
libgguf_cpu,dequantize,default,Q4_0,1,4096,1x4096,50,0.007104,0.324335,2.306384,2304,16384,
cuda,quantize,,Q4_1,1,4096,1x4096,200,0.009103,1.799902,,2560,16384,
cuda,dequantize,,Q4_1,1,4096,1x4096,200,0.010081,0.253944,1.625242,2560,16384,
libgguf_cpu,quantize,1_thread,Q4_1,1,4096,1x4096,50,0.010467,1.565280,,2560,16384,
libgguf_cpu,dequantize,1_thread,Q4_1,1,4096,1x4096,50,0.014159,0.180807,1.157167,2560,16384,
libgguf_cpu,quantize,default,Q4_1,1,4096,1x4096,50,0.019334,0.847441,,2560,16384,
libgguf_cpu,dequantize,default,Q4_1,1,4096,1x4096,50,0.013241,0.193346,1.237411,2560,16384,
cuda,quantize,,Q4_K,1,4096,1x4096,200,0.172657,0.094894,,2304,16384,
cuda,dequantize,,Q4_K,1,4096,1x4096,200,0.009390,0.245365,1.744820,2304,16384,
